isbn,bookname,author,publisher,image,price,category
68,AI와 함께 살기 - 알고리즘 시대를 건너는 가장 다정한 안내서,"이운성, 박영순 (지은이)",살림,https://image.aladin.co.kr/product/38880/45/cover200/8952249828_1.jpg,8820,인공지능
69,"요즘 바이브 코딩 클로드 코드 완벽 가이드 - 요금제 선택, CLAUDE.md, Opus, Sonnet, 모델 선택, MCP, PRD, 깃허브 워크플로, UI 프로토타이핑, 인증 구현, 슬래시 커맨드, supabase 연동, 테스트, 배포, 슈퍼 클로드, ccusage, 클로디아 느낌이 좋은 프로그램 만드는 원리와",최지호 (지은이),골든래빗(주),https://image.aladin.co.kr/product/37028/32/cover200/k582030735_1.jpg,21600,인공지능
70,혼자 해도 프로 작가처럼 잘 그리는 아이패드 드로잉 with 프로크리에이트,빨간고래(박정아) (지은이),한빛미디어,https://image.aladin.co.kr/product/29680/45/cover200/k072838286_1.jpg,19800,스마트폰/태블릿
71,밑바닥부터 만들면서 배우는 LLM - GPT를 내 손으로 직접 단계별로 만들어보면서 대규모 언어 모델의 기본기를 탄탄히 채우기,"세바스찬 라시카 (지은이), 박해선 (옮긴이)",길벗,https://image.aladin.co.kr/product/37227/24/cover200/k182031704_2.jpg,36000,인공지능
72,"한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드 - 실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 Claude Code 에이전트 실전 훈련!","조훈, 정찬훈 (지은이)",길벗,https://image.aladin.co.kr/product/37069/43/cover200/k662030436_1.jpg,23400,인공지능
73,진화된 마케팅 그로스 해킹 - 프로세스와 실행 전략 바이블,"션 엘리스, 모건 브라운 (지은이), 이영구, 이영래 (옮긴이)",골든어페어,https://image.aladin.co.kr/product/11958/61/cover200/k522531432_2.jpg,17100,마케팅/브랜드
74,"질문으로 답을 찾는 인공지능 윤리 수업 - 재미있는 이야기로 풀어낸 에피소드 X 탐구 질문, 2025년 하반기 올해의 청소년 교양도서 추천도서",박형빈 (지은이),한언출판사,https://image.aladin.co.kr/product/36206/13/cover200/8955969473_1.jpg,18900,청소년 수학/과학
75,"회사에서 바로 통하는 엑셀 FOR STARTERS - 챗GPT&AI 활용, 모든 버전 사용 가능, 전면 개정판",전미진 (지은이),한빛미디어,https://image.aladin.co.kr/product/37445/3/cover200/k452032502_1.jpg,15300,엑셀
76,인공지능 시대의 컴퓨터 개론 - 개정8판,"김대수, 김경동 (지은이)",생능,https://image.aladin.co.kr/product/30708/79/cover200/8970506179_1.jpg,28000,인공지능
77,"우리, 프로그래머들 - AI 시대에 잊혀 가는 '프로그래머 정신'을 다시 깨우다","로버트 C. 마틴 (지은이), 최희철 (옮긴이)",길벗,https://image.aladin.co.kr/product/38466/66/cover200/k392135919_1.jpg,27900,인공지능
78,나노바나나로 AI툰 제작하기,김한재 (지은이),비엘북스,https://image.aladin.co.kr/product/38553/86/cover200/k862135852_1.jpg,28800,인공지능
79,"직장인을 위한 AI 실무 엑셀 - AI로 실무 완벽 대응! 실전! 비즈니스 엑셀 완전 정복, 최신개정",선양미 (지은이),길벗,https://image.aladin.co.kr/product/38152/87/cover200/k332034408_1.jpg,22500,엑셀
80,된다! 조회수 터지는 인스타그램 릴스 만들기 - 3초 후킹 전략부터 알고리즘의 비밀까지! AI로 빠르게 기획해서 수익화하자!,최지영 (지은이),이지스퍼블리싱,https://image.aladin.co.kr/product/38730/29/cover200/k532136847_1.jpg,18900,그래픽 일반
81,누구나 쉽게 시작하는 방구석 1인 앱 창업 - AI와 함께하는 앱 기획부터 애드몹 수익화까지 돈 버는 앱 만들기,김건희 (지은이),제이펍,https://image.aladin.co.kr/product/38726/14/cover200/k762136841_1.jpg,25200,모바일/임베디드
82,팜 수학편 4 : 시간 농장 - 상상력을 자극하는 유쾌한 학습 동화,"홍지연 (지은이), 지문 (그림)",길벗스쿨,https://image.aladin.co.kr/product/38579/2/cover200/k862135152_1.jpg,14400,초등 수학
83,혼자 공부하는 컴퓨터 구조 + 운영체제 - 1:1 과외하듯 배우는 컴퓨터공학 자습서,강민철 (지은이),한빛미디어,https://image.aladin.co.kr/product/29901/42/cover200/k932838038_1.jpg,25200,네트워크/데이터 통신
84,비전공자를 위한 이해할 수 있는 IT 지식 - IT시대의 필수 교양서,최원영 (지은이),T.W.I.G(티더블유아이지)(주),https://image.aladin.co.kr/product/24606/45/cover200/k662631176_1.jpg,15120,컴퓨터공학/전산학 개론
85,나노 바나나 - 매일매일 쓰는 제미나이 AI,"문수민, 박범희, 앤미디어 (지은이)",생능북스,https://image.aladin.co.kr/product/37458/46/cover200/k472032813_1.jpg,21600,인공지능
86,린 스타트업 - 지속적 혁신을 실현하는 창업의 과학,"에릭 리스 (지은이), 이창수, 송우일 (옮긴이)",인사이트,https://image.aladin.co.kr/product/2064/86/cover200/8966260578_1.jpg,16200,벤처/스타트업/인터넷창업
87,"마법 같은 영상 제작을 위한 스마트폰 촬영 및 편집 with 캡컷 - 릴스 마법사 롱제이의 인스타그램, 유튜브 채널 운영을 위한 숏폼 영상 촬영 편집 꿀팁!",롱제이(김지희) (지은이),시프트,https://image.aladin.co.kr/product/35714/41/cover200/k322036225_1.jpg,20700,스마트폰/태블릿
88,"생각이란 무엇인가 - 마음과 자유의지, 그리고 삶의 의미에 관하여","대니얼 C. 데닛 (지은이), 신광복 (옮긴이)",바다출판사,https://image.aladin.co.kr/product/37993/0/cover200/k602034676_2.jpg,34200,교양 철학
89,데이터베이스 개론 - 제3판,김연희 (지은이),한빛아카데미(교재),https://image.aladin.co.kr/product/28756/22/cover200/k952836881_1.jpg,29000,데이터베이스 개론
90,대체불가 AI 영상 제작 완전정복 - 챗GPT로 기획하고 제너레이티드 포토스·아트브리더·구글 베오·나노 바나나(Flash 2.5)·미드저니·프리픽·시드림·수노 AI·일레븐랩스·클링AI·런웨이·피카·소라2·컴피UI·캡컷 AI로 완성하기,이용태 (지은이),책바세,https://image.aladin.co.kr/product/37714/64/cover200/k662033162_1.jpg,26100,인공지능
91,코딩 자율학습 나도코딩의 파이썬 입문 - 초보자 눈높이에 맞춘 친절한 프로그래밍 자습서,나도코딩 (지은이),길벗,https://image.aladin.co.kr/product/31060/47/cover200/k462831528_1.jpg,21600,파이썬
92,가상 면접 사례로 배우는 대규모 시스템 설계 기초,"알렉스 쉬 (지은이), 이병준 (옮긴이)",인사이트,https://image.aladin.co.kr/product/27604/17/cover200/8966263151_1.jpg,21600,컴퓨터공학/전산학 개론
93,"업무와 일상을 정리하는 새로운 방법 노션 Notion - 생각 정리부터 업무 생산성, 협업 관리 도구를 노션 하나로!, 개정3판",전시진 (지은이),제이펍,https://image.aladin.co.kr/product/36498/2/cover200/k002039224_1.jpg,21600,e-비즈니스/온라인 창업
94,챗GPT·퍼플렉시티·클로드·코파일럿·제미나이 다 잘함 - 97가지 활용 사례로 배우는 최강 AI 5대장 완전정복,이호정 (지은이),리코멘드,https://image.aladin.co.kr/product/37572/57/cover200/k642032626_1.jpg,25200,인공지능
95,명품 운영체제 (수정판),황기태 (지은이),생능,https://image.aladin.co.kr/product/28430/76/cover200/8970505253_2.jpg,33000,소프트웨어 공학
96,"포토샵 + 일러스트레이터 CC 2026 무작정 따라하기 - 파이어플라이, 나노바나나, 토파즈 기가픽셀","문수민, 민지영, 전은재, 앤미디어 (지은이)",길벗,https://image.aladin.co.kr/product/38240/36/cover200/k062034527_1.jpg,23400,포토샵
97,"AI 잘 쓰는 디자이너 - 나노 바나나부터 미드저니, 피그마, 캡컷, 수노, 런웨이까지!",전하린 (지은이),이지스에듀(이지스퍼블리싱),https://image.aladin.co.kr/product/37971/76/cover200/k142034864_1.jpg,18900,웹디자인 기타
98,2026 시대에듀 유선배 SQL개발자(SQLD) 합격노트 - 저자직강 무료강의,정미나 (지은이),시대에듀(시대고시기획),https://image.aladin.co.kr/product/37896/64/cover200/k012033623_1.jpg,21600,SQL
99,"처음이지만 프로처럼 쓰는 노션 Notion - 데이터베이스 기초부터 자동화 시스템까지 완벽 활용법, 개정판",박한용(노션너굴) (지은이),아이생각(디지털북스),https://image.aladin.co.kr/product/37232/62/cover200/8960884979_2.jpg,22500,e-비즈니스/온라인 창업
100,라프 코스터의 재미이론 - 10주년 개정판,"라프 코스터 (지은이), 유창석, 전유택 (옮긴이)",길벗,https://image.aladin.co.kr/product/10569/18/cover200/k002530539_2.jpg,19800,게임 프로그래밍
101,"이게 되네? 클로드 MCP 미친 활용법 27제 - 엑셀, 노션, 옵시디언, 피그마, 블렌더, 스테이블 디퓨전부터 메일, 보고서, 블로그, 대시보드, 크롤링, 유튜브 썸네일 생성까지 27가지 일잘러의 AI 대통합 업무 자동화",박현규 (지은이),골든래빗(주),https://image.aladin.co.kr/product/36653/11/cover200/k582030986_2.jpg,21600,인공지능
